title,link,category,date,description,content,image,author
Rwanda: comment les drones contribuent à la lutte contre la malaria,https://fr.le360.ma/monde/rwanda-comment-les-drones-contribuent-a-la-lutte-contre-la-malaria_6SJS5IDK4JGHPIBS4RE2KEYINA/,Société,Le 15/05/2025 à 16h35,"VidéoEn combinant technologie de pointe et mobilisation communautaire, le Rwanda redéfinit sa lutte contre la malaria. Dans les marais du pays, des drones pulvérisent désormais des insecticides dans les zones à risque, empêchant les moustiques de se reproduire. Une innovation qui s’inscrit dans un programme national plus vaste, et dont les résultats sont déjà visibles.","
 Le Rwanda fait figure de pionnier en Afrique dans l’utilisation des nouvelles technologies pour améliorer ses services sociaux. Après avoir marqué les esprits avec Zipline, qui livre des médicaments et du sang par drones dans les coins les plus reculés du territoire, le Pays des mille collines récidive, cette fois-ci dans le domaine de la santé publique: la lutte contre la malaria. Grâce à l’usage des drones pour la pulvérisation ciblée d’insecticides dans des zones marécageuses, le pays renforce sa guerre contre cette maladie qui touche encore des millions d’Africains.
 Depuis 2017, la malaria est en net recul au Rwanda, et les chiffres officiels confirment les efforts fournis. D’après le Rwanda Biomedical Center (RBC), les drones participent à la destruction des larves de moustiques dans des marais identifiés comme à haut risque.",https://afrique.le360.ma/resizer/v2/KFZPDPQ4C5FDFPP46HKE25YQNE.jpg?auth=ea88a2103af6d95c8175096dadf84d477aa153e286c356aeda8c473942ccef29&smart=true&width=1216&height=684,Fraterne Ndacyayisenga
Près de 874 hectares de forêts incendiés en 2024 (Agence nationale des eaux et forêts),https://fr.le360.ma/societe/pres-de-874-hectares-de-forets-incendies-en-2024-agence-nationale-des-eaux-et-forets_FOSXSIPE65FDRBYANM4BTS4KCY/,Société,Le 15/05/2025 à 16h30,"VidéoLe directeur général de l’Agence nationale des eaux et forêts (ANEF), Abderrahim Houmy, a présidé ce jeudi à Rabat une réunion du Comité directeur national de la prévention et de la lutte contre les incendies de forêts, en vue de préparer la saison estivale 2025.","
 La réunion a porté sur «le bilan des incendies de forêts survenus en 2024 ainsi que les enseignements à tirer» et a examiné «les dispositifs à renforcer en vue de la saison estivale 2025», indique un communiqué de l’ANEF.
 Le bilan de l’année 2024 fait état de «382 incendies sur une superficie totale de 874 hectares, avec un taux de 55% des espèces arborées touchées». Selon la même source, «toutes les régions ont été affectées par les incendies de forêts». Toutefois, «la grande pression est toujours enregistrée au niveau de la région Tanger-Tétouan-Al Hoceima, avec 123 incendies (32%)». En termes de superficie brûlée, c’est la région de Fès-Meknès qui arrive en tête, avec 375 hectares incendiés, soit 41% de la superficie totale enregistrée en 2024.
 Cette année a été, selon l’ANEF, «la plus chaude au Maroc depuis les 300 dernières». Par ailleurs, les trois dernières années figurent parmi «les plus chaudes depuis la période préindustrielle (1850-1900)». L’année agricole 2023-2024 a aussi été «la plus sèche, avec un déficit de 46,6% par rapport à la normale (1991-2010)».
 Malgré ces conditions extrêmes, 2024 «a été classée en 2ème position des années les moins touchées par les incendies», précise-t-on.",https://fr.le360.ma/resizer/v2/5GZPXJMYTVFNRM5GGMI7HTXF6I.jpg?auth=aaf34e3032dae334ab934028713cd9560d58d1d28a48c39a2b9ae7713c9c8257&smart=true&width=1216&height=684,Mohamed Chakir Alaoui
Exclusif. Les détails de l’offre du Panathinaïkos pour conserver Ounahi,https://fr.le360.ma/sports/exclusif-les-details-de-loffre-du-panathinaikos-pour-conserver-ounahi_W7VKHSTV6JGVTPDHN3UHYG42S4/,Autres championnats,Le 15/05/2025 à 16h12,"Alors que l’Olympique de Marseille réclame 11 millions d’euros pour céder Azzedine Ounahi, le Panathinaïkos ne compte pas lâcher le dossier et a formulé une nouvelle offre à la direction du club phocéen, après que la première ait été refusée par l’OM.","
 Comme nous le révélions mercredi, le Panathinaïkos souhaite faire de Azzedine Ounahi, un résident permanent d’Athènes. La direction du club grec prévoit de revenir à la charge auprès de l’Olympique de Marseille, après avoir essuyé un premier refus.
 Selon une source bien informée contactée par Le360, la première offre du Pana, estimée à 5 millions d’euros, a été rejetée par l’OM, qui en demande plus du double.
 Le club grec est revenu à la charge avec une nouvelle proposition: une formule de prêt d’une saison avec obligation d’achat à l’issue de l’exercice 2025-26, de l’ordre de 6 millions d’euros.
 Pour le moment, la direction marseillaise n’a toujours pas donné de réponse concernant cette nouvelle offre.",https://sport.le360.ma/resizer/v2/E57OBE7SO5CCHJRTSSZLTBWYO4.jpg?auth=9c1e92bab81582755a2e91831576fb3134484b0a37d78549ebd67d8ed8975cd9&smart=true&width=1216&height=684,Anas Zabari
"Casamémoire sans locaux, le cri du cœur de Mohamed Tangi",https://fr.le360.ma/culture/casamemoire-sans-locaux-le-cri-du-coeur-de-mohamed-tangi_7XPLOOH3Q5AY3EGPH6MJQXINIA/,Culture,Le 15/05/2025 à 16h04,"À quelques jours du lancement de la 14ème édition des Journées du patrimoine de Casablanca, un cri du cœur vient rappeler une réalité troublante: l’association Casamémoire, pilier de la sauvegarde du patrimoine casablancais, ne dispose toujours pas de locaux propres. Une situation révélée publiquement par l’un de ses membres, Mohamed Tangi, lors d’une conférence de presse.","
 Collectionneur passionné et membre actif de Casamémoire, Mohamed Tangi a profité de la conférence de presse de présentation de la 14ème édition des Journées du patrimoine de Casablanca, organisée le 5 mai à l’espace du Sacré-Cœur, pour lancer un vibrant appel aux autorités locales.
 À la surprise du public présent, il révèle que l’association, fondée en 1995 et engagée depuis trente ans dans la défense du patrimoine de la métropole, ne dispose toujours pas de siège officiel.
 «Je lance un appel aux responsables de la ville pour qu’ils mettent à notre disposition un des nombreux locaux vacants, afin que nous puissions enfin installer nos bureaux», déclare-t-il, visiblement ému.",https://fr.le360.ma/resizer/v2/NLIVZTIJCFAYJBXYZEEI2OFBJY.jpg?auth=0d3732452d400a97dabf9a18e95bc6bfcfb8a5afa81a8da25f1bc346bfd581f0&smart=true&width=1216&height=684,Qods Chabâa
"Formation pointue, équipement high-tech, plateformes interactives… Comment, en 69 ans, la DGSN a affûté ses armes contre la criminalité",https://fr.le360.ma/politique/formation-pointue-equipement-high-tech-plateformes-interactives-comment-en-69-ans-la-dgsn-a-affute_FW7ANAQS7ZDQHEW4WC6Y3N6L4E/,Politique,Le 15/05/2025 à 15h18,"La famille de la Sûreté nationale célèbre vendredi le 69ème anniversaire de la création de la Direction générale de la sûreté nationale (DGSN), l’occasion de réaffirmer l’engagement constant de cette institution dévouée à protéger avec professionnalisme la patrie et les citoyens, et à renforcer le sentiment de sécurité.","
 Cette commémoration permet aussi de faire le point sur les réalisations accomplies par l’institution policière et les nouveautés introduites, de mettre en avant la dynamique de modernisation engagée ces dernières années et de présenter le volet des services de l’action sécuritaire, ainsi que l’évolution de concepts tels que la bonne gouvernance sécuritaire, la police de proximité et la coproduction de la sécurité.
 Depuis sa création, le 16 mai 1956, la DGSN s’est employée à relever les défis sécuritaires émergents, en misant sur l’action proactive dans la lutte contre la criminalité, une présence agissante sur le terrain et un relèvement constant du niveau de vigilance.",https://fr.le360.ma/resizer/v2/UZENOH6CF5DM3L6B5ZWR7EL5L4.jpeg?auth=56901d3456b4c0a210e7d4ff3af16644adb334b3082b52a0b520108aacbe48b2&smart=true&width=1216&height=684,"Par, Le360 (avec MAP)"
La fin d’une époque: la démolition des restaurants des plages privées de Dar Bouazza comme si vous y étiez,https://fr.le360.ma/societe/la-fin-dune-epoque-la-demolition-des-restaurants-des-plages-privees-de-dar-bouazza-comme-si-vous-y_Q5XY22PKYJGL7FSBGXRGAK4PD4/,Société,Le 15/05/2025 à 14h59,"VidéoCe jeudi 15 mai 2025, le littoral de Dar Bouazza s’est réveillé au son des pelleteuses et des sirènes des forces de l’ordre. En quelques heures, les emblématiques restaurants de plage – certains installés depuis plus de trente ans – ont commencé à tomber, pierre après pierre, dans le cadre d’une vaste opération de récupération du domaine maritime. Ce coup de force, attendu, marque la fin d’un modèle de développement balnéaire toléré des décennies durant, au nom du tourisme et de l’emploi. Désormais, l’État impose un nouveau cap: celui de la légalité stricte, quitte à effacer une part de la mémoire affective du littoral casablancais. Reportage.","
 Sur le littoral atlantique qui borde Dar Bouazza, au sud de Casablanca, l’air salin transporte ce matin une tension inhabituelle. À une dizaine de kilomètres du centre-ville, ce qui fut autrefois un paisible village de pêcheurs s’est métamorphosé, au fil des décennies, en une station balnéaire prisée, puis en une véritable ville de plus de 400.000 habitants. Les terrasses des pubs et restaurants qui bordent la plage - certains installés ici depuis des décennies - sont encore vides à cette heure. En temps normal, le calme règne en maître sur ce tronçon côtier, surtout en semaine et hors saison estivale. Mais aujourd’hui, ce silence a été rompu.
 Un vacarme sourd, organisé, méthodique s’est emparé des lieux. Le long des fameuses «plages privées», l’expression courante pour désigner cette succession d’établissements les pieds dans le sable, c’est un tout autre décor qui s’est dressé au lever du jour. Gendarmes, agents des Forces auxiliaires, éléments de la Protection civile… Les uniformes sont partout. Déployés en masse dès les premières lueurs, ils quadrillent la zone, sous les ordres d’une impressionnante délégation de représentants de l’autorité. Chaque geste, chaque regard, chaque mot d’ordre trahit une opération planifiée, réfléchie, et visiblement d’envergure. Ce matin, Dar Bouazza s’est réveillée sous haute tension.
 Neuf heures pile. Comme un signal parfaitement synchronisé, l’opération démarre. En quelques instants, les équipes de terrain se mettent en branle, encerclant les lieux, balisant les accès, sécurisant le périmètre. Puis arrivent les engins lourds, gigantesques pelleteuses au grondement sourd, prêtes à entrer en action. Leur mission est claire, sans appel: démolir. Tout doit disparaître. Ordre du jour: destruction immédiate des établissements touristiques pour occupation illégale du domaine maritime.
 «Tous, veut dire tous»
 Le premier coup est porté au nord. Deux établissements emblématiques ouvrent le bal: Océana Beach et Atlantic. En quelques heures, ce qui fut autrefois des lieux animés, où les rires se mêlaient aux clapotis des vagues, n’est plus qu’un amas de gravats. Le mobilier, les équipements, les effets personnels ont été mis de côté, mais tout le reste, des façades aux cuisines, des sanitaires aux piscines, est méthodiquement réduit en poussière. Et ce n’est que le début.",https://fr.le360.ma/resizer/v2/ZTD7LGYORVBVBFZKV6HJU43ZIE.jpg?auth=dd8010032f57a1dcd90877e75ade6382ab1fc0d4e221a638876983ae31b8ad2c&smart=true&width=1216&height=684,Tarik Qattab
La finale retour Simba-RS Berkane au Amaan Stadium à Zanzibar,https://fr.le360.ma/sports/la-finale-retour-simba-rs-berkane-au-amaan-stadium-a-zanzibar_55KLBHDRWNGUJBB326UOK5XYVQ/,Coupe de la CAF,Le 15/05/2025 à 14h51,"La finale retour de la Coupe de la Confédération 2024-25, qui oppose Simba à la Renaissance sportive de Berkane, se tiendra au Amaan Stadium de Zanzibar.","
 C’est au Amaan Stadium de Zanzibar (capacité de 15.000 sièges) que Simba accueillera la Renaissance sportive de Berkane en finale retour de la Coupe de la Confédération 2024-25.
 La rencontre se tiendra le dimanche 25 mai (20 heures GMT+1), alors que l’aller est prévu pour le samedi 17 du même mois au Stade municipal de Berkane.",https://sport.le360.ma/resizer/v2/UPB6NZVZ2ZBBBLRMIGLV7LMLLI.jpeg?auth=2da93b8294f915da98677be7ea3881405d3456dd19798a360f587e452c3e4102&smart=true&width=1216&height=684,Salwa Hosni
"Mauritanie: l’ancien président Ould Abdel Aziz lourdement condamné en appel, satisfaction des avocats de la partie civile",https://fr.le360.ma/monde/mauritanie-lancien-president-ould-abdel-aziz-lourdement-condamne-en-appel-satisfaction-des-avocats_MFQMQHB6YFC7NGW5JJK6CS7ZQI/,Politique,Le 15/05/2025 à 14h16,"La chambre pénale de la cour d’appel de Nouakchott a condamné Mohamed Abdel Aziz, ancien chef de l’État de Mauritanie (2008-2019) à 15 ans de prison ferme, pour une série d’infractions liées à sa décennie de gouvernance (enrichissement illicite, abus de fonctions, blanchissement...), dans un verdict rendu le mercredi 14 mai.","
 L’ancien président mauritanien avait été condamné à 5 ans de prison ferme en janvier 2024, sur la base d’un rapport parlementaire transmis à la justice en 2020. Au terme des débats devant la cour d’appel, le ministère public avait requis une peine de prison de 20 ans.
 Mohamed Ould Abdel Aziz était poursuivi en même temps qu’une dizaine d’anciens hauts responsables et des proches, parmi lesquels deux anciens premiers ministres. C’est la première fois, qu’un ancien président mauritanien, est condamné pour des faits liés à sa gouvernance.
 Le Collectif des avocats de l’État de Mauritanie, qui s’est constitué partie civile, a salué le verdict au cours d’une conférence de presse organisée dans la soirée du mercredi 14 mai.",https://afrique.le360.ma/resizer/v2/ENWBEOCFQ5AJTHITZZY5QVDRFE.jpg?auth=9b05a6cb891e21067b5914ce38c1694074c6247d0f4fbbfc4da3e2a3b4e19685&smart=true&width=1216&height=684,"Amadou Seck (Nouakchott, correspondance)"
Obligations durables: Bank Al-Maghrib investit 150 millions de dollars auprès du FIDA,https://fr.le360.ma/economie/obligations-durables-bank-al-maghrib-investit-150-millions-de-dollars-aupres-du-fida_ML4LN4MVGZEENEC3CZH2EL7D3U/,Economie,Le 15/05/2025 à 13h30,"Le Fonds international de développement agricole (FIDA) a annoncé, le mercredi 14 mai, l’émission d’une deuxième obligation durable de Bank Al-Maghrib (BAM), dans le cadre d’un effort conjoint pour renforcer la sécurité alimentaire dans les zones rurales.","
 Le Fonds international de développement agricole (FIDA) a émis une obligation durable auprès de Bank Al-Maghrib (BAM), sous la forme d’un placement privé, au titre de son cadre de financement du développement durable. C’est la onzième fois que le FIDA émet une obligation durable. Celle-ci, dont le montant s’élève à 150 millions de dollars, avec une échéance fixée à 10 ans, contribue au plan de financement du FIDA pour 2025, indique le Fonds dans un communiqué.
 L’organisation avait déjà commencé à mettre en œuvre son financement 2025 en juillet 2024, lorsqu’elle avait établi son premier partenariat avec la banque centrale du Maroc et procédé à un placement privé de 100 millions d’euros, ajoute la même source.
 Financer des projets de développement
 «Nous sommes particulièrement fiers que Bank Al-Maghrib nous renouvelle sa confiance en tant qu’investisseur. Cela montre à quel point les relations à long terme sont essentielles pour permettre au FIDA de mener à bien sa mission générale, qui, plus que jamais, est indispensable pour bâtir un monde meilleur et plus stable», a déclaré Natalia Toschi, responsable du financement au FIDA.
 Et d’ajouter: «Ceci est d’autant plus vrai en ces temps d’incertitude au niveau mondial, alors que les marchés ne cessent de nous surprendre. Bank Al-Maghrib applique une politique de responsabilité sociale des entreprises pleinement alignée sur les valeurs du FIDA».",https://fr.le360.ma/resizer/v2/TYKLM6D5B5GHZGWJER2VAS5T7I.jpg?auth=dda6b71ae90b428edd71e654071888e7ce061d8068a10b586e44a94f3d7b8821&smart=true&width=1216&height=684,Ayoub Khattabi
RDC: un casque bleu marocain tué dans un accident de la route dans l’Est,https://fr.le360.ma/societe/rdc-un-casque-bleu-marocain-tue-dans-un-accident-de-la-route-dans-lest_IPFATZF2ABG2BFKJ4T24HLYTY4/,Société,Le 15/05/2025 à 13h21,"Un casque bleu marocain et son interprète congolais employé par les Nations-unies sont morts dans un accident de la route dans l’Est de la République démocratique du Congo (RDC), a annoncé mercredi la Mission des Nations-unies dans le pays (Monusco). Quatre autres Casques bleus marocains ont été blessés et évacués vers l’hôpital des Nations Unies à Goma.","
 Un véhicule de la Monusco «a quitté la route et s’est renversé après avoir glissé dans un ravin» à «environ 13 kilomètres au sud de Kitchanga», dans la province du Nord-Kivu, a indiqué la Monusco dans un communiqué.
 «Un casque bleu du bataillon marocain de déploiement rapide (MORRDB) et un assistant linguistique congolais ont perdu la vie dans l’accident», a-t-elle annoncé.
 La mission onusienne a précisé que «quatre autres Casques bleus marocains ont été blessés et évacués vers l’hôpital des Nations Unies à Goma», capitale de la province du Nord-Kivu sous contrôle du groupe armé M23, soutenu par le Rwanda.
 La Monusco n’a pas pu empêcher la prise de Goma par le M23 fin janvier, au prix de violents combats qui ont fait des milliers de morts, dont deux casques bleus sud-africains et un uruguayen.
 Les contingents onusiens sont toujours déployés dans les zones conquises par le M23 depuis sa résurgence fin 2021.
 Des centaines de soldats congolais se sont réfugiés dans les bases onusiennes à Goma après la prise de la ville, afin d’échapper à la capture.
 Fin avril, la Croix-Rouge internationale (CICR) a annoncé le début des opérations d’évacuation de ces militaires et policiers vers Kinshasa, à travers les zones M23.
 Parmi les plus importantes et plus coûteuses missions de l’ONU au monde, la Monusco est présente en RDC depuis 1999 et compte quelque 13.500 militaires et 2.000 policiers.
 Depuis 1999, plus de 400 membres de la mission, civils et militaires, ont été tués dans l’exercice de leur mandat (161 sous la bannière Monuc, environ 260 depuis).",https://afrique.le360.ma/resizer/v2/KXY55WFHG5E5FB7RWFNAP2PTP4.jpg?auth=02016f819ae4c393d16c2fe7c837abe0a91573b26d6223f5b65ac442c2f48620&smart=true&width=1216&height=684,"Par, Le360 Afrique (avec AFP)"
